Goal,X,Y,C,Distance,Angle
1,4,53,3.0,4.63060471212994,1.3148001881795657
1,8,55,5.0,9.006802984411284,0.7371524997587747
1,12,45,5.0,13.012397934277908,0.5341519416725077
1,5,30,20.0,14.020074892809953,0.2068089192105259
1,4,49,1.0,4.25,1.4201477008546248
1,17,38,12.0,19.479797226870716,0.3428393688609002
1,9,65,15.0,13.578107379160027,0.3844644915514975
1,12,28,22.0,19.059118552545918,0.2577648835350448
1,6,42,8.0,8.16884324736373,0.7129423086642364
1,15,55,5.0,16.08182203607539,0.4394683699579318
1,2,55,5.0,3.8694314827891705,1.468571286280629
1,11,47,3.0,11.713453803212783,0.599138082307799
1,12,57,7.0,13.396361446303246,0.5069724665686698
1,13,32,18.0,17.97811169172113,0.3119750682558491
1,19,38,12.0,21.420609235033442,0.31679577481592847
1,14,60,10.0,16.072958657322552,0.413920005768173
1,22,66,16.0,25.3331798240963,0.26286752707765737
1,7,48,2.0,7.464080653369174,0.9043227873413638
1,11,52,2.0,11.622929923216434,0.6071775870131542
1,11,57,7.0,12.413903495677738,0.541048218774014
1,26,26,24.0,31.442805218364345,0.20210889983911917
1,31,50,0.0,32.55,0.2239441566207394
1,4,50,0.0,4.2,1.4336073198863475
1,8,47,3.0,8.623369411082885,0.7896535819599936
1,13,33,17.0,17.562032911938186,0.32654703564538545
1,8,53,3.0,8.623369411082885,0.7896535819599936
1,13,53,3.0,13.788582233137678,0.5145691046572908
1,3,62,12.0,8.412044935685971,0.38217689414903444
1,7,54,4.0,7.796313231265146,0.848710701766978
1,9,50,0.0,9.45,0.7390235358439743
1,18,49,1.0,18.911173945580426,0.38214120816966374
1,17,53,3.0,17.956196701974505,0.4000177485012383
1,18,31,19.0,22.577256254912818,0.271838152254586
1,7,70,20.0,14.933937859787685,0.2512332492285382
1,20,42,8.0,21.634232133357543,0.3260437354536846
1,5,47,3.0,5.600446410778341,1.1334130108600122
1,7,56,6.0,8.320606949015197,0.7668402757191194
1,5,53,3.0,5.600446410778341,1.1334130108600122
1,9,53,3.0,9.649093221645233,0.7147531635553958
1,11,46,4.0,11.839024453053554,0.588192267514254
1,7,41,9.0,9.393880987110705,0.6232345110872599
1,25,43,7.0,26.64141512757909,0.2692316748953821
1,8,53,3.0,8.623369411082885,0.7896535819599936
1,11,62,12.0,13.93709080116794,0.43731158474742216
1,21,50,0.0,22.05,0.3289734362229828
1,3,63,13.0,9.018037480516478,0.3272370360387149
1,12,68,18.0,17.19447585708852,0.3158311044591509
1,12,50,0.0,12.6,0.5653932311874568
1,13,50,0.0,13.65,0.5239396375264456
1,4,33,17.0,11.821273197079915,0.2386912971488724
1,11,67,17.0,15.984523765192382,0.33596709169430355
1,13,60,10.0,15.11861435449691,0.4347254180747608
1,12,37,13.0,15.17110740849197,0.40228502943306477
1,10,59,9.0,12.019671376539376,0.5303396409372803
1,13,49,1.0,13.665467427058616,0.5228832076788991
1,19,68,18.0,23.127743080551546,0.2730351404249318
1,6,29,21.0,15.03371211644017,0.21358878179238977
1,11,34,16.0,15.542281042369552,0.3548588071854964
1,13,36,14.0,16.40525830336115,0.372468920683269
1,33,34,16.0,36.17709910979597,0.19335478144994905
1,7,64,14.0,11.697542476947882,0.41103848550828037
1,10,59,9.0,12.019671376539376,0.5303396409372803
1,13,67,17.0,17.562032911938186,0.32654703564538545
1,17,52,2.0,17.897276329095444,0.4024840245835908
1,9,39,11.0,11.850105484762572,0.49865017428260083
1,7,64,14.0,11.697542476947882,0.41103848550828037
1,4,51,1.0,4.25,1.4201477008546248
1,2,50,0.0,2.1,2.0997730918933617
1,6,48,2.0,6.432728814430155,1.025372627090774
1,13,40,10.0,15.11861435449691,0.4347254180747608
1,13,61,11.0,15.409250468468608,0.41949264517163204
1,8,54,4.0,8.793179174792243,0.7659735007631507
1,8,44,6.0,9.26120942425988,0.7042514439477466
1,2,46,4.0,3.342154993413681,1.7145799379756579
1,13,48,2.0,13.711765021323842,0.5197369931737656
1,9,32,18.0,15.039697470361562,0.3142956852066102
1,11,59,9.0,12.947007376224052,0.5014474542557615
1,15,57,7.0,16.394053800082517,0.42407042714928733
1,13,52,2.0,13.711765021323842,0.5197369931737656
1,10,45,5.0,10.991473968490304,0.6210728310993445
1,12,39,11.0,14.487322043773307,0.4388737084624515
1,13,54,4.0,13.895412912180769,0.5074894297819179
1,6,57,7.0,7.771261158911081,0.7759378875324093
1,5,31,19.0,13.419575254083117,0.22658931818991998
1,11,49,1.0,11.568275584545868,0.612092356355344
1,8,52,2.0,8.5,0.807278894490786
1,10,63,13.0,13.477852202780678,0.4284956183822145
1,14,54,4.0,14.928161306738348,0.47457492357511266
1,12,47,3.0,12.75,0.5537770359226951
1,9,30,20.0,16.071792059381554,0.2752793134772887
1,9,49,1.0,9.472328119316812,0.7362608907549515
1,27,53,3.0,28.41698435795044,0.25560420271061063
1,3,42,8.0,6.079679267856159,0.7744838280818499
1,6,45,5.0,7.088899773589692,0.8965302427131067
1,10,34,16.0,14.778700890132395,0.35868342997638314
1,12,56,6.0,13.189768762188365,0.5213741842885677
1,9,57,7.0,10.488326844640188,0.6213951258162871
1,11,53,3.0,11.713453803212783,0.599138082307799
1,7,38,12.0,10.71739240673775,0.4875473980128381
1,7,59,9.0,9.393880987110705,0.6232345110872599
1,9,38,12.0,12.253264871045593,0.4683200303619614
1,3,58,8.0,6.079679267856159,0.7744838280818499
